"year","category","winners","nominees"
"1936","Dance Direction","""I've Got a Feeling You're Fooling"" from ""Broadway Melody of 1936"" - Broadway Melody of 1936, ""Straw Hat"" from ""Folies Bergere"" - Folies Bergere","""Lullaby of Broadway"" from ""Gold Diggers of 1935"" - Gold Diggers of 1935, ""The Words Are In My Heart"" from ""Gold Diggers of 1935"" - Gold Diggers of 1935, ""Latin from Manhattan"" from ""Go into Your Dance"" - Go into Your Dance, ""Playboy from Paree"" from ""Broadway Hostess"" - Broadway Hostess, ""Lovely Lady"" from ""King of Burlesque"" - King of Burlesque, ""Too Good To Be True"" from ""King of Burlesque"" - King of Burlesque, ""Piccolino"" from ""Top Hat"" - Top Hat, ""Top Hat, White Tie, and Tails"" from ""Top Hat"" - Top Hat, ""It's the Animal in Me"" from ""Big Broadcast of 1936"" - Big Broadcast of 1936, ""Viennese Waltz"" from ""All the King's Horses"" - All the King's Horses, ""Hall of Kings"" from ""She"" - She"
"1936","Directing","John Ford - The Informer","Michael Curtiz - Captain Blood, Henry Hathaway - The Lives of a Bengal Lancer, Frank Lloyd - Mutiny on the Bounty"
"1936","Film Editing","Ralph Dawson - A Midsummer Night's Dream","Robert J. Kern - David Copperfield, George Hively - The Informer, Barbara McLean - Les Misérables, Ellsworth Hoagland - The Lives of a Bengal Lancer, Margaret Booth - Mutiny on the Bounty"
"1936","Music (Scoring)","RKO Radio Studio Music Department, Max Steiner, head of department (Score by Max Steiner) - The Informer","Warner Bros.-First National Studio Music Department, Leo Forbstein, head of department (Score by Erich Wolfgang Korngold) - Captain Blood, Metro-Goldwyn-Mayer Studio Music Department, Nat W. Finston, head of department (Score by Herbert Stothart) - Mutiny on the Bounty, Paramount Studio Music Department, Irvin Talbot, head of department (Score by Ernst Toch) - Peter Ibbetson"
"1936","Music (Song)","Lullaby Of Broadway in ""Gold Diggers of 1935"" Music by Harry Warren; Lyrics by Al Dubin - Gold Diggers of 1935","Cheek To Cheek in ""Top Hat"" Music and Lyrics by Irving Berlin - Top Hat, Lovely To Look At in ""Roberta"" Music by Jerome Kern; Lyrics by Dorothy Fields and Jimmy McHugh - Roberta"
"1936","Outstanding Production","Metro-Goldwyn-Mayer - Mutiny on the Bounty","RKO Radio - Alice Adams, Metro-Goldwyn-Mayer - Broadway Melody of 1936, Cosmopolitan - Captain Blood, Metro-Goldwyn-Mayer - David Copperfield, RKO Radio - The Informer, 20th Century - Les Misérables, Paramount - The Lives of a Bengal Lancer, Warner Bros. - A Midsummer Night's Dream, Metro-Goldwyn-Mayer - Naughty Marietta, Paramount - Ruggles of Red Gap, RKO Radio - Top Hat"
"1936","Short Subject (Cartoon)","Walt Disney, Producer - Three Orphan Kittens","Harman-Ising - The Calico Dragon, Walt Disney, Producer - Who Killed Cock Robin?"
"1936","Short Subject (Comedy)","Jack Chertok, Producer - How to Sleep","Jules White, Producer - Oh, My Nerves, Hal Roach, Producer - Tit for Tat"
"1936","Short Subject (Novelty)","Gaumont British and Skibo Productions - Wings over Mt. Everest","Pete Smith, Producer - Audioscopiks, Universal - Camera Thrills"
"1936","Sound Recording","Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director - Naughty Marietta","Universal Studio Sound Department, Gilbert Kurland, Sound Director - Bride of Frankenstein, Warner Bros.-First National Studio Sound Department, Nathan Levinson, Sound Director - Captain Blood, United Artists Studio Sound Department, Thomas T. Moulton, Sound Director - The Dark Angel, RKO Radio Studio Sound Department, Carl Dreher, Sound Director - I Dream Too Much, Paramount Studio Sound Department, Franklin B. Hansen, Sound Director - The Lives of a Bengal Lancer, Columbia Studio Sound Department, John Livadary, Sound Director - Love Me Forever, Republic Studio Sound Department - $1,000 a Minute, 20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director - Thanks a Million"
